Actual,Predicted
779.0,913.9508999999999
1476.11,1249.7725361904766
2639.0,3274.3282466666674
359.0,437.72240000000033
689.0,733.1190000000001
2099.0,1571.2598666666665
619.0,724.305
530.0,572.1569
899.0,1306.5136000000002
1262.0,1167.6432666666674
879.0,1056.8462666666667
729.0,794.7176000000001
669.0,842.9731000000004
1369.9,1124.0285333333334
629.0,717.1574999999998
1599.0,1290.2391666666667
1149.0,1113.3719
755.0,927.9594999999998
1799.0,1987.3803000000003
1249.0,1171.3019
1119.0,858.7127333333334
559.0,612.0161
1262.0,1699.1039666666666
1142.8,1172.9138500000001
462.35,550.9836499999999
1983.0,1706.853133333333
1679.0,2073.081216666667
1199.0,1403.0209066666666
2499.0,2179.7235333333333
800.0,714.4526000000001
2064.9,2357.6400999999987
945.0,1278.4653333333333
1099.0,982.0350428571428
1869.0,1379.1306035714285
1798.0,2046.0574000000001
1499.0,1829.4175
1943.0,1920.8887000000009
5499.0,4142.8921
1499.0,1605.3624000000002
1673.0,1757.6645999999996
699.0,805.4170142857142
2509.0,2465.5253333333335
479.0,496.3786499999998
831.0,1287.8972999999999
1150.0,1494.0863333333334
598.0,639.1986999999999
1049.0,1035.5435
713.07,774.856183333333
521.47,648.5305000000001
805.99,754.4554999999999
2868.99,2696.1913333333337
488.99,488.2199
812.0,803.5352333333333
891.0,1216.3290333333327
1975.0,1418.3435
1925.0,1894.7969999999993
2240.0,2018.7363
1009.9,953.2372000000005
1269.0,917.2875
699.0,1164.9031333333335
889.0,914.4669666666668
839.0,655.8481499999999
1095.0,1127.0471000000011
1469.0,1542.68
1165.0,1091.2503857142856
1195.0,1071.169823809524
1099.0,1710.27
989.99,1082.9800999999993
1449.0,1479.8061166666666
737.0,767.6569000000001
749.0,730.4001499999999
849.0,914.1489999999999
1599.0,1384.09326
1000.0,990.2345000000006
1219.24,1126.7824
4899.0,3342.3583800000006
1272.0,1207.9525
1099.0,872.3416000000002
1495.0,2225.835199999999
1099.0,1186.4961833333334
754.0,729.7395
805.99,754.4554999999999
398.49,443.809
2415.0,2339.9328
1413.1,1387.2551666666664
1191.0,1284.5619750000003
616.0,695.7664750000002
1499.0,1506.0431642857145
668.48,627.8657714285713
1965.0,1933.6
1399.0,1931.256666666667
1349.0,1353.6873999999998
499.0,575.2219000000002
2199.0,2073.9188
1599.0,1166.1055666666668
949.0,896.1331666666666
1790.0,1572.7350000000004
735.07,793.9348000000006
1534.0,1771.3644333333332
699.0,1326.0931333333335
399.0,371.87
630.0,562.6577666666667
809.0,1000.3070000000001
2419.0,2212.406933333333
999.0,975.4361
1899.0,2073.1103057142864
1591.0,1626.8415333333332
719.0,706.2045999999999
973.0,1207.1953000000003
999.0,1160.1756999999996
3890.0,3407.848600000001
465.0,472.49529999999976
1607.96,1468.8303999999998
1099.0,2105.6412333333333
739.0,768.9887999999999
1258.0,1258.9868333333332
675.0,729.7395
499.0,664.1908999999999
1149.0,1229.8708333333334
2663.0,3002.8154999999997
2049.9,2106.9743
955.0,961.4307000000002
884.0,1222.3809999999999
860.0,1156.7676333333334
1010.51,1088.7010999999998
1624.0,1426.4834999999998
3100.0,1510.2824000000005
629.0,533.7036583333336
1650.0,1770.0292
544.0,527.8074
490.0,496.2746999999997
469.0,474.93
902.0,1265.6553333333331
589.0,655.4768333333332
1340.0,1263.5528333333332
979.0,659.949
1193.0,1225.5949999999996
1549.0,1336.8892999999998
2749.99,2047.6298000000013
1819.0,1911.4293000000002
1349.0,1364.23202
1144.0,936.6351166666667
565.0,459.6365000000002
1900.0,2006.1789999999994
2449.0,2023.078100000001
1249.0,1438.5379999999998
478.89,490.565
1060.49,1259.094
1969.0,1633.5819190476188
612.61,614.21085
1680.0,1813.9314
549.0,663.4476749999998
1349.0,1249.2795333333336
585.0,648.7204
539.0,716.6114999999998
1064.0,855.5931000000003
854.0,978.1027
2399.0,1824.2775000000024
1899.0,1557.0198
499.0,583.6798000000001
749.0,706.2363000000004
1329.0,2247.003133333333
547.0,619.3670999999995
795.0,1078.1581333333343
1334.0,1188.9475
1199.0,1812.6246000000006
2968.0,2344.02359
955.0,810.0535000000009
3055.0,2761.785299999999
1498.0,1538.5436892857147
1199.0,1011.2976999999997
1109.0,1169.2338
535.0,875.2980666666666
539.0,500.85158333333334
647.0,652.2986761904762
899.0,817.7154
1285.0,1140.97
2712.0,2187.8149000000003
846.0,956.2350999999995
469.01,480.76130000000006
865.0,1099.6803
1299.0,1360.3584
841.0,952.0614
1195.0,1071.2392000000002
1079.0,1215.9827
519.0,692.1332428571429
1499.0,1598.6266666666666
1699.0,1711.3816999999983
1363.0,1296.8742
1299.0,1785.2655666666667
1511.19,1331.9916278571432
1027.74,1006.2912999999992
1048.0,1151.5280000000002
770.0,1112.0808000000004
1096.0,1024.5062
1299.0,1528.5161
1813.0,1569.7596833333332
2099.0,2256.4916
1699.0,1388.2467000000001
1399.0,1252.0568750000002
549.99,546.7298999999996
1725.0,1557.9212
1154.0,940.2627000000003
1096.16,941.7938
1690.0,1641.2973000000002
1829.0,1260.7705
699.0,1167.4523000000002
879.01,1790.1812999999995
899.0,868.1646000000001
1099.0,1248.7513
451.0,472.2077
1379.0,1538.5436892857147
2599.0,2465.7004
2013.1,1664.4395333333334
1043.0,1034.6140666666668
1820.0,1260.7705
819.0,922.2126666666669
1799.0,2203.6455000000005
1335.0,1697.6971428571426
469.0,500.19183333333336
603.0,1045.8534000000002
2171.72,1494.8083999999997
349.0,310.7797
2799.0,2911.6102
1649.0,1479.8061166666666
2199.0,2115.58
699.0,1175.3876
722.0,696.4270999999999
1599.0,1366.6243738888888
